day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
8,June,2012,28,52,16,2.5,83.0,10.5,9.3,5.0,14.9,11.6,not fire
6,June,2012,31,46,17,0.8,87.7,26.2,117.1,8.5,29.1,18.4,fire
24,September,2012,34,64,15,1.4,67.9,10.0,8.5,1.3,11.7,0.2,not fire
9,August,2012,29,79,17,0.2,87.3,7.9,30.1,9.4,9.0,8.4,fire
17,August,2012,34,59,15,0.5,90.7,17.6,10.4,7.7,22.5,19.3,fire
6,June,2012,24,82,17,1.8,52.9,1.0,181.3,0.5,1.8,0.1,fire
5,July,2012,41,39,13,0.6,91.5,24.9,27.1,10.8,27.1,19.5,fire
25,June,2012,38,66,9,0.2,90.7,15.9,22.2,7.9,18.4,10.5,fire
20,August,2012,31,83,18,2.4,67.0,18.0,46.4,1.2,20.0,5.9,not fire
14,June,2012,33,70,19,1.4,78.1,5.8,16.6,2.6,5.8,15.3,not fire
20,June,2012,25,88,26,2.4,59.3,1.4,168.2,0.9,2.1,0.1,not fire
16,August,2012,34,43,14,1.5,85.9,9.1,22.9,3.1,10.7,0,fire
21,June,2012,32,51,15,1.2,85.9,30.5,9.7,5.6,34.1,2.6,fire
18,June,2012,28,75,12,2.9,65.0,4.9,33.1,1.4,6.7,2.5,not fire
2,September,2012,32,48,15,2.0,62.6,3.6,24.3,2.1,4.4,0,not fire
2,July,2012,33,67,17,0.3,86.1,21.6,32.1,9.7,22.8,15,fire
24,September,2012,31,52,17,1.6,87.8,10.1,62.1,4.6,13.0,15.7,fire
15,August,2012,35,55,15,0.4,84.8,20.3,149.2,5.9,23.8,16,fire
27,August,2012,32,71,14,1.1,90.4,36.6,130.6,9.7,43.4,10.5,fire
13,August,2012,37,64,17,2.1,76.3,31.6,63.8,4.2,33.2,13.2,not fire
2,September,2012,25,77,21,3.9,42.8,3.1,24,1.6,3.8,0.4,not fire
5,July,2012,28,83,18,2.5,53.7,3.3,19.4,0.2,4.9,13.7,not fire
6,September,2012,25,72,15,2.0,56.4,10.6,8.3,1.0,10.5,3.1,not fire
10,June,2012,33,50,18,1.4,87.5,8.4,10.5,7.4,9.0,4.2,fire
15,August,2012,31,43,15,2.7,84.1,19.8,177.3,6.1,18.1,0.2,fire
26,September,2012,31,77,13,0.4,89.0,27.0,63.3,7.6,31.0,26.9,fire
23,August,2012,23,88,22,3.1,48.0,1.5,42.3,0.2,2.3,0.5,not fire
3,July,2012,38,34,16,1.0,93.5,25.6,35.4,14.6,25.0,24.5,fire
30,July,2012,41,40,15,0.0,95.9,61.6,210.4,17.0,66.0,15,fire
24,July,2012,30,63,20,1.2,82.9,28.3,84.4,7.6,33.0,17.5,fire
20,June,2012,29,69,18,4.2,59.1,9.4,30.9,1.1,10.9,0.9,not fire
28,August,2012,39,43,16,1.5,91.4,15.2,41.5,4.4,19.4,0.6,not fire
5,September,2012,25,79,17,1.1,74.0,4.7,37.6,6.0,5.8,3.9,not fire
25,June,2012,37,58,14,0.2,93.8,28.8,200.2,10.4,33.4,10.6,fire
21,September,2012,27,78,18,0.4,80.2,3.5,8.6,3.4,5.1,14.8,not fire
15,July,2012,35,56,12,2.2,87.0,30.6,29.7,6.1,35.0,6.7,fire
13,September,2012,30,84,14,0.4,84.3,10.5,106.3,3.3,11.3,19.3,fire
17,July,2012,34,49,19,1.9,92.1,16.2,115.6,8.5,16.2,0.9,not fire
2,September,2012,27,82,19,2.8,49.8,3.8,8.2,0.7,5.2,2.2,not fire
8,September,2012,37,30,16,0.6,94.6,27.7,8.6,14.5,31.4,3.6,fire
9,June,2012,35,57,12,1.3,88.5,15.9,26.6,4.1,17.3,12.7,fire
22,September,2012,27,76,20,2.6,69.4,15.6,22.9,4.2,15.6,12.1,not fire
16,September,2012,32,59,13,4.2,53.5,8.1,8,0.7,7.4,0.1,not fire
27,September,2012,32,73,12,0.6,88.8,6.7,149.2,5.3,5.7,19.4,fire
18,July,2012,34,55,9,1.1,89.3,11.5,77.8,4.7,13.7,3.9,not fire
23,July,2012,37,40,15,1.4,87.4,13.4,65.1,7.7,14.1,3.1,not fire
7,July,2012,31,47,13,3.1,84.3,4.4,166,4.6,5.1,1.2,not fire
29,August,2012,37,45,13,2.1,85.1,22.0,92.8,2.4,26.1,20.9,not fire
22,August,2012,32,60,15,3.2,76.7,5.5,157.5,2.7,5.8,0,not fire
23,August,2012,30,57,14,3.8,68.4,5.9,62.1,1.7,6.9,9,not fire
20,July,2012,33,65,20,0.4,92.6,29.6,67,9.3,33.6,31.1,fire
26,September,2012,34,66,14,0.9,85.3,21.5,8.4,6.7,21.7,30.3,fire
24,July,2012,32,77,13,0.5,76.6,16.2,88.7,2.9,18.6,3.8,fire
11,June,2012,32,59,17,0.7,89.2,18.7,18.5,9.8,19.4,0.3,fire
10,June,2012,32,64,14,0.8,74.3,5.7,127.5,1.3,6.8,12.9,fire
8,September,2012,28,85,15,4.3,49.5,0.7,8.2,0.1,1.2,0.5,not fire
11,September,2012,29,84,18,1.3,55.3,1.6,9.1,0.9,2.0,0.5,fire
3,August,2012,41,31,15,0.9,94.0,21.2,25.6,13.4,20.9,11.6,fire
1,June,2012,39,54,12,2.1,71.4,8.2,96.8,3.5,7.5,0.2,not fire
29,July,2012,36,34,19,0.0,95.8,53.7,100.7,14.6,60.1,16.7,fire
6,June,2012,34,53,19,0.1,94.0,20.9,7.8,11.3,26.0,3.2,fire
26,June,2012,37,32,11,1.0,95.1,18.1,8.5,12.5,17.8,30.2,fire
14,August,2012,36,48,14,0.9,87.5,31.9,7.1,5.8,37.1,9.1,fire
12,August,2012,31,67,17,0.5,86.4,20.5,55.8,5.2,25.9,8.8,fire
16,June,2012,31,52,16,0.9,86.4,26.2,117.8,7.7,31.7,7.3,fire
15,August,2012,34,58,20,1.2,85.4,21.0,8.3,7.9,23.1,7.7,fire
16,July,2012,35,79,13,1.2,74.2,11.3,7.5,3.4,10.0,1.3,fire
28,August,2012,34,57,17,1.9,81.8,10.0,92.5,7.2,16.6,18.4,not fire
19,August,2012,33,55,10,0.7,92.8,32.0,22.5,7.8,34.4,3.4,fire
9,July,2012,40,50,12,1.2,92.9,10.4,22.2,10.6,11.5,7.3,fire
3,September,2012,28,84,19,4.7,43.8,2.9,17,0.2,3.3,0.5,fire
18,June,2012,31,60,18,3.0,64.9,2.9,127.5,2.0,4.7,12.9,fire
27,September,2012,32,62,10,1.0,77.3,10.8,55.5,2.0,13.3,0.2,fire
4,July,2012,35,72,14,0.0,87.2,20.9,167.2,6.9,21.7,0.9,fire
8,June,2012,30,59,13,0.6,84.8,7.4,18.7,6.3,7.6,20.9,fire
8,August,2012,27,49,18,2.6,73.8,2.1,127.5,3.2,3.2,18.8,not fire
9,September,2012,33,28,16,2.2,87.7,9.3,130.6,9.1,14.3,0.7,fire
6,June,2012,36,52,18,1.5,88.2,19.8,157.5,7.7,21.1,14.6,fire
26,July,2012,38,47,9,0.2,95.4,45.4,65.1,10.6,51.8,8.8,fire
25,August,2012,29,59,14,0.8,79.8,24.7,80.3,3.0,29.9,6.7,fire
15,September,2012,32,47,10,2.3,82.5,13.9,24.3,5.4,11.2,0.1,not fire
22,June,2012,35,52,12,0.6,93.1,19.3,15.9,5.4,21.8,15.4,fire
22,August,2012,28,77,16,2.2,62.8,2.5,100.7,1.0,4.1,0.3,not fire
20,August,2012,36,34,16,1.0,92.7,30.7,7.5,12.1,30.8,4.1,fire
5,August,2012,29,49,13,3.9,65.4,6.2,7.6,2.1,7.6,0.5,not fire
23,September,2012,31,51,16,1.2,87.2,26.0,52.5,8.8,31.0,15.7,fire
7,June,2012,29,71,15,1.3,69.6,12.1,41.5,1.1,17.4,0.9,not fire
18,July,2012,40,22,12,0.6,95.9,47.5,24,18.0,46.1,10.3,fire
24,August,2012,39,45,13,0.4,93.0,29.6,63.8,6.1,33.7,5.3,fire
29,September,2012,33,60,15,2.8,79.6,11.9,141.1,4.0,15.5,12.6,not fire
16,August,2012,32,56,17,1.9,75.8,11.5,14.2,2.7,13.3,0,not fire
17,August,2012,37,56,15,2.1,80.6,11.3,27.3,3.9,12.8,12.6,not fire
6,August,2012,29,63,15,3.0,68.6,5.8,7.6,1.0,6.2,15.3,not fire
14,July,2012,28,79,19,4.8,51.0,8.1,7.4,0.7,12.4,0,not fire
29,August,2012,34,60,13,0.0,93.9,29.2,200.2,12.0,36.9,13,fire
15,August,2012,32,42,18,0.5,94.2,33.4,210.4,9.9,41.6,20.4,fire
13,August,2012,35,50,14,2.0,84.6,10.1,28.9,5.5,8.5,2.1,fire
17,August,2012,33,42,11,0.6,94.6,9.9,57,9.3,12.6,6,fire
2,June,2012,32,48,18,1.3,85.6,3.5,80.6,4.8,3.7,0.8,fire
10,August,2012,25,65,18,0.6,69.3,9.2,96.8,2.5,10.2,6.4,not fire
13,June,2012,31,65,9,0.4,82.9,25.8,15.7,5.1,29.8,0.9,fire
21,July,2012,31,72,13,1.8,68.6,10.7,29.7,2.8,14.7,2.2,not fire
15,July,2012,36,76,19,2.8,67.9,2.9,71,2.2,3.2,12.9,not fire
15,July,2012,30,74,19,0.3,87.3,26.4,181.3,7.0,32.5,2.5,fire
15,September,2012,32,50,11,3.3,74.1,15.0,38.3,2.8,19.2,7.2,not fire
13,August,2012,31,68,14,0.2,89.2,16.9,34.5,8.0,15.4,2.5,fire
28,June,2012,30,72,18,1.8,71.6,11.0,37.6,2.3,12.5,18.4,not fire
17,August,2012,27,87,13,0.4,72.0,11.6,27.9,4.9,14.6,1.2,not fire
27,August,2012,36,43,13,0.3,93.9,22.1,27.3,13.1,20.0,14.5,not fire
22,September,2012,37,56,17,0.0,92.2,28.5,9.8,10.9,37.9,14.1,fire
6,June,2012,26,59,17,1.9,74.9,9.0,8.2,4.7,8.6,3.9,fire
9,June,2012,33,63,13,0.9,74.7,18.7,168.2,2.3,25.8,12.6,not fire
20,June,2012,28,76,15,4.2,58.9,2.8,7.5,0.1,2.7,0.5,not fire
31,August,2012,37,50,12,0.2,95.1,26.3,37.6,9.6,33.7,3.7,fire
31,August,2012,40,40,13,0.0,95.9,41.5,151.3,14.4,50.0,fire,fire
2,September,2012,28,60,13,0.3,78.7,10.7,15.4,5.6,12.8,0.9,fire
24,June,2012,29,59,15,1.9,66.3,9.7,24.9,1.7,10.7,0.1,not fire
14,July,2012,32,64,17,0.4,79.7,12.3,6.9,4.5,13.0,7.1,fire
7,August,2012,32,37,15,1.6,88.9,16.1,141.1,5.0,18.1,12.9,fire
21,August,2012,31,80,14,0.2,88.9,14.2,16.5,5.6,20.6,6.8,fire
3,July,2012,40,40,16,2.8,93.5,17.1,7.5,10.5,15.8,0.2,not fire
14,September,2012,27,78,18,3.3,62.2,10.3,79.9,1.3,13.7,15.7,fire
3,August,2012,30,63,13,0.7,82.5,8.4,37,4.3,12.2,0,fire
4,September,2012,34,55,12,0.3,86.1,14.0,9.1,8.5,12.9,7.3,fire
22,September,2012,32,62,12,1.4,86.7,20.0,52.4,7.6,22.8,7.2,fire
10,July,2012,30,74,17,3.5,64.6,9.0,90.1,2.6,8.9,0.5,not fire
2,August,2012,35,55,14,2.6,70.9,1.4,86,2.1,2.3,3.9,not fire
21,July,2012,36,66,13,1.7,87.6,18.6,57.1,2.0,19.4,7.7,fire
8,August,2012,29,71,18,0.2,81.7,13.1,85.1,5.6,20.4,17.2,not fire
1,June,2012,27,64,15,1.0,75.8,4.2,52.8,2.8,5.3,13,fire
13,August,2012,28,80,17,1.6,67.7,25.8,7.4,3.6,29.1,6.8,fire
29,June,2012,34,55,11,0.8,90.3,19.5,14.6 9,2.5,27.2,3,fire
9,September,2012,34,39,23,0.3,95.4,11.3,7.5,16.8,14.3,2.1,fire
21,July,2012,38,45,17,0.1,95.5,39.7,20.2,16.5,44.3,5.6,fire
5,July,2012,34,70,15,1.0,88.1,9.9,38.8,6.4,11.6,0.7,fire
5,June,2012,40,43,13,0.4,90.5,25.2,10,8.1,24.2,14.5,fire
25,September,2012,28,54,18,2.0,73.1,5.5,8,2.8,5.4,0.4,not fire
8,July,2012,38,60,16,0.2,91.6,31.9,94.7,10.3,37.0,14.6,not fire
9,September,2012,24,88,21,2.7,51.6,0.8,49.8,0.3,1.2,0.8,not fire
7,August,2012,34,76,15,2.4,66.9,5.8,14.7,1.6,6.7,0.8,not fire
8,August,2012,31,79,14,2.2,50.1,5.9,90.1,0.5,6.0,3.9,not fire
26,August,2012,36,55,13,2.3,87.9,26.6,22.5,4.8,32.3,0.3,fire
11,June,2012,37,50,15,0.0,92.9,27.9,168.2,9.0,27.9,1.7,fire
5,August,2012,31,75,12,1.9,72.1,3.6,77.8,1.7,5.2,20.9,not fire
21,June,2012,36,67,14,1.0,82.7,13.8,7.3,5.7,15.1,0.3,fire
9,August,2012,34,56,19,2.4,81.6,8.8,8,8.8,7.8,0.3,not fire
17,July,2012,37,57,20,1.4,82.4,15.1,37.8,7.8,17.0,0.6,not fire
25,September,2012,31,66,18,1.8,78.8,23.6,30.9,5.9,26.1,0.3,fire
10,September,2012,35,50,17,0.6,93.0,17.3,25.5,7.4,20.7,6.8,fire
29,August,2012,36,57,12,1.9,82.8,17.8,30.4,5.0,17.8,10.6,fire
5,September,2012,30,60,18,4.8,65.5,1.2,8.3,0.5,1.6,0.1,not fire
6,July,2012,26,69,16,0.5,73.2,2.3,8.8,2.2,3.7,3.9,not fire
26,August,2012,36,49,14,2.8,88.5,35.3,80.3,4.5,35.1,6.3,not fire
10,August,2012,32,69,13,0.6,83.5,24.0,7,4.2,29.8,2.8,not fire
20,August,2012,38,45,17,0.5,95.0,53.9,29.7,17.3,55.3,8.3,fire
1,June,2012,31,59,17,0.6,79.1,9.6,54.2,7.3,9.6,3.8,not fire
3,July,2012,36,65,17,2.0,85.8,21.8,159.1,7.9,23.6,0.6,not fire
28,July,2012,34,67,18,4.8,58.6,16.1,63.3,2.6,22.3,0.9,not fire
11,August,2012,30,62,20,1.5,80.1,9.3,9.9,4.9,11.3,0.5,not fire
31,September,2012,31,85,18,0.5,79.4,20.2,47,3.5,32.8,6.3,fire
13,June,2012,33,49,13,0.1,91.2,25.2,86.8,11.2,25.2,13,fire
13,July,2012,34,52,14,0.5,90.9,22.8,32.2,7.2,29.2,4.7,not fire
12,September,2012,31,68,15,1.7,57.9,7.6,7.6,1.5,9.2,5.2,not fire
7,August,2012,24,88,15,2.8,35.6,1.1,86.8,0.1,2.1,0.2,fire
8,August,2012,31,58,24,0.7,87.2,11.5,6.9,6.2,15.8,18.1,not fire
30,September,2012,30,35,14,2.5,78.0,22.8,55.5,6.1,26.5,6.3,not fire
13,June,2012,30,84,21,3.4,57.3,2.6,8.4,0.7,3.5,0.6,fire
23,June,2012,34,58,8,0.4,93.4,13.0,79.9,5.5,13.8,21.6,fire
18,June,2012,35,54,10,0.9,92.1,47.9,24.3,7.7,50.8,6.3,fire
11,June,2012,37,58,12,0.5,93.6,27.5,33.1,8.6,25.2,6.3,fire
17,June,2012,32,74,11,0.5,79.4,12.8,51.6,3.1,13.2,0,fire
5,September,2012,33,63,14,0.1,91.4,5.8,62.1,7.3,7.0,10.2,not fire
19,June,2012,30,44,16,1.1,87.4,13.8,86,7.6,16.7,21.6,fire
5,June,2012,34,48,15,0.7,92.1,26.7,47.7,8.8,29.9,7.3,not fire
22,July,2012,41,32,11,0.5,94.6,13.4,56.6,11.7,15.3,2.5,fire
30,September,2012,32,62,16,0.6,80.7,23.2,75.1,2.9,30.6,16,fire
4,September,2012,26,86,15,0.9,41.6,1.7,7.5,0.2,1.9,0.3,not fire
17,July,2012,39,25,16,0.8,94.9,42.2,28.3,12.0,43.3,4.1,fire
3,July,2012,34,40,19,0.4,89.1,15.0,88.7,10.9,18.5,11.6,fire
22,September,2012,26,59,17,3.0,59.5,18.1,7.6,1.5,21.6,2.8,not fire
26,July,2012,41,38,13,0.4,94.9,36.8,37.2,13.4,44.9,12,fire
3,June,2012,28,73,15,0.5,83.6,13.0,20.2,4.2,14.2,2.8,fire
2,July,2012,34,78,16,0.5,83.8,9.0,41.3,2.8,13.1,4.2,fire
5,July,2012,30,77,18,4.4,53.7,10.0,45.1,0.5,9.8,0.5,not fire
16,August,2012,38,45,13,2.1,91.0,8.4,19.4,5.5,8.4,6.1,not fire
11,June,2012,30,81,13,2.3,57.5,2.1,8.8,0.4,3.4,0.5,not fire
8,July,2012,32,75,17,0.9,81.2,23.2,36.8,2.2,24.8,13.7,fire
13,September,2012,33,58,21,0.6,83.9,18.5,30.9,8.8,22.3,30.3,fire
6,July,2012,40,37,12,0.6,87.7,18.2,7.4,7.2,19.3,4.9,fire
27,September,2012,32,63,17,0.1,86.8,18.2,80.3,6.0,22.1,9.7,fire
17,June,2012,29,79,15,0.2,81.7,4.3,8.3,2.6,5.2,7.7,not fire
4,June,2012,36,38,14,0.1,91.1,10.0,92.5,7.7,12.3,7.1,fire
4,August,2012,32,61,13,1.8,79.3,7.8,14.6 9,3.5,8.8,14.1,not fire
28,September,2012,34,75,13,0.3,90.6,15.0,48.6,5.8,20.3,0.3,fire
25,June,2012,29,68,18,4.2,65.8,8.2,7.7,0.4,10.7,3.9,not fire
26,August,2012,38,35,13,0.4,94.7,42.5,100.7,8.4,48.7,19.4,fire
5,August,2012,32,69,15,0.3,83.7,17.3,63.3,5.8,21.2,0.1,fire
2,September,2012,34,52,12,2.9,68.5,1.6,44.5,1.5,2.0,0.5,not fire
18,June,2012,29,76,21,1.6,74.9,3.9,149.2,3.0,5.9,5.9,not fire
14,June,2012,30,58,12,3.8,54.2,2.6,37.6,1.3,3.1,0.4,not fire
20,September,2012,26,90,21,1.6,58.8,5.9,15.7,0.9,10.4,0.3,fire
6,September,2012,29,64,18,2.0,68.9,3.9,26.6,3.1,3.5,0.9,fire
15,June,2012,32,59,15,1.1,81.2,16.4,59.2,7.0,19.2,15,fire
2,June,2012,35,59,14,1.7,79.6,10.9,15.7,5.4,10.1,3.9,not fire
6,September,2012,25,69,19,3.2,62.4,2.5,27.3,0.8,3.3,0.1,not fire
5,June,2012,30,74,16,0.6,74.3,12.2,200.2,3.9,15.5,0.2,fire
20,June,2012,34,73,22,1.7,73.8,26.0,90.1,5.8,31.0,0,fire
27,August,2012,41,24,17,1.8,94.4,35.5,90.1,11.2,38.6,18.4,not fire
10,September,2012,33,58,17,2.3,86.2,6.5,8.6,4.7,8.5,0.3,not fire
7,August,2012,35,61,13,0.0,94.0,13.6,88.5,13.4,20.3,12.2,fire
13,June,2012,36,24,14,0.8,93.3,25.0,57.9,9.1,30.6,12.1,fire
11,June,2012,30,76,15,4.1,57.6,10.6,7.3,0.7,11.1,0.5,not fire
30,July,2012,34,79,13,0.2,89.3,36.6,75.1,8.1,45.0,2.7,fire
23,September,2012,37,36,13,0.4,91.6,23.1,7.3,10.5,24.6,6.8,fire
23,July,2012,36,50,11,0.3,93.9,29.9,120.9,8.7,31.6,16.7,fire
6,June,2012,37,50,11,0.2,92.1,28.9,47.7,12.1,33.5,0.5,fire
6,August,2012,33,73,16,0.3,83.9,16.4,24.3,4.9,16.3,3.1,not fire
9,September,2012,24,88,14,2.4,54.9,1.2,97.3,0.2,1.8,0.4,not fire
11,June,2012,32,69,13,2.8,64.3,3.7,7.9,1.3,5.6,0.9,not fire
22,June,2012,34,35,13,3.7,79.8,3.8,8.2,3.0,4.9,4.2,fire
16,August,2012,36,34,14,2.3,90.9,16.5,16.6,9.3,15.4,0.6,fire
3,September,2012,33,53,15,2.6,76.3,6.3,33.1,3.8,5.5,21.6,not fire
12,September,2012,25,75,17,2.0,71.6,8.7,7.5,3.3,12.2,0.9,fire
8,September,2012,27,75,17,1.3,74.0,6.6,63.8,3.8,9.3,13.2,fire
3,August,2012,32,48,14,0.8,86.0,9.7,8.2,6.9,9.3,fire,not fire
8,July,2012,33,63,15,3.5,78.1,12.1,15.2,2.3,13.2,10.3,fire
22,August,2012,36,53,17,1.7,81.4,13.3,19.4,4.6,17.8,9.9,not fire
27,July,2012,32,59,15,2.3,77.7,14.5,34.5,1.6,15.5,1.7,not fire
14,September,2012,30,50,15,2.1,69.2,10.1,25.5,3.7,16.8,0.8,fire
17,June,2012,30,73,15,3.3,60.5,12.2,26.3,1.7,12.5,7.2,not fire
13,July,2012,35,44,14,0.8,94.0,38.8,18.7,6.8,43.5,30.2,not fire
14,July,2012,37,44,13,1.3,91.5,26.9,151.3,4.2,27.2,10.6,fire
26,August,2012,36,52,11,4.1,88.5,21.5,57.1,4.4,24.5,8.4,fire
11,September,2012,27,78,20,1.4,60.0,5.5,15.4,2.1,8.9,26.1,fire
28,July,2012,34,50,17,0.6,91.8,25.5,35.4,10.8,30.6,7.7,fire
2,June,2012,27,87,11,3.6,45.4,4.4,7.6,0.4,3.9,0.5,not fire
28,July,2012,34,53,13,0.5,88.7,35.9,21.4,6.5,38.1,12.7,not fire
10,August,2012,33,59,17,3.5,61.2,8.9,22.2,2.0,15.1,0.7,not fire
27,August,2012,33,55,16,1.5,76.7,5.8,15.9,3.9,7.9,0.5,not fire
27,August,2012,35,77,14,0.9,80.8,12.0,80.6,4.0,15.1,20.9,not fire
1,September,2012,27,79,14,0.9,68.6,1.3,10,1.9,1.6,0.4,fire
3,September,2012,32,57,17,0.8,79.2,9.4,37.6,3.9,12.8,5.2,fire
24,July,2012,40,40,18,0.1,95.7,46.5,7.4,18.1,48.8,30.2,fire
22,September,2012,29,64,13,2.5,64.1,8.0,7.7,1.2,7.0,12.6,not fire
20,July,2012,36,52,15,1.2,89.2,33.5,71.5,6.9,34.4,1.3,fire
7,June,2012,33,66,14,1.8,81.7,7.3,8,5.4,7.6,0.8,not fire
11,June,2012,34,62,17,0.3,90.2,35.4,24.9,9.0,39.8,30.2,fire
20,June,2012,34,52,14,1.5,83.6,9.6,17,8.8,9.4,0.6,fire
8,July,2012,34,72,12,0.6,77.3,10.2,177.3,3.7,8.8,0.3,not fire
30,June,2012,33,59,11,0.5,90.1,23.9,16,7.9,27.2,7.2,fire
4,July,2012,31,68,17,1.2,78.0,11.1,19.7,5.0,12.0,0.9,fire
22,September,2012,32,60,16,0.5,91.0,11.5,86,9.2,14.4,2.5,fire
30,June,2012,31,51,17,1.3,83.9,13.8,27.1,7.4,18.7,7.2,not fire
14,September,2012,38,48,8,0.1,93.7,23.7,17.6,10.0,25.9,3.6,fire
17,September,2012,30,69,18,1.7,60.8,7.2,71.5,3.2,8.8,0.5,fire
28,September,2012,33,53,16,0.3,89.7,26.0,9.5,8.5,34.1,6,fire
14,July,2012,28,59,17,1.9,75.4,10.9,15.2,3.1,12.7,7.1,not fire
1,August,2012,29,74,21,0.8,66.6,1.3,130.6,3.2,2.1,0.2,not fire
11,September,2012,28,83,12,1.3,69.3,3.2,37.8,1.2,3.7,18.4,fire
18,June,2012,30,69,13,2.3,74.4,12.5,14.6 9,4.8,15.0,26.1,fire
7,June,2012,34,55,14,2.0,79.4,12.5,34.1,6.1,19.0,14.5,not fire
1,September,2012,35,58,13,0.6,78.8,10.6,8.2,6.7,11.7,3.8,fire
26,August,2012,34,35,20,1.9,90.3,34.2,136,11.9,37.7,5.7,not fire
26,August,2012,36,72,19,2.7,81.3,15.0,32.2,2.0,23.6,19.5,fire
29,September,2012,30,54,9,3.8,68.1,9.6,8.2,2.2,9.2,2.5,not fire
6,July,2012,32,71,12,3.3,63.1,5.6,46.3,0.8,7.4,2.5,not fire
25,September,2012,31,70,19,1.5,85.9,16.3,8.9,6.5,20.8,12.2,not fire
27,July,2012,37,30,16,0.8,93.1,31.5,22.9,10.9,31.3,9.6,fire
25,August,2012,28,63,17,2.8,62.7,7.8,28.3,1.3,9.3,0.5,not fire
5,June,2012,35,42,15,0.2,90.7,5.6,24.3,7.0,5.0,15.4,fire
11,August,2012,31,53,16,1.6,79.7,10.2,171.3,3.8,15.7,6,fire
10,June,2012,32,25,12,2.0,80.6,11.2,28.3,4.8,11.6,0,not fire
26,June,2012,33,73,14,0.5,79.0,23.5,88.5,4.6,34.8,26.3,not fire
29,July,2012,31,68,16,0.4,86.5,32.0,145.7,8.9,34.6,12.6,fire
29,June,2012,37,68,17,2.4,76.5,11.9,27.7,4.4,11.5,0.1,not fire
2,June,2012,36,68,10,0.3,84.9,10.2,9.7,4.3,9.2,0,fire
26,June,2012,33,66,13,1.0,80.4,12.6,16.6,4.9,15.9,3.9,fire
1,September,2012,29,66,13,2.9,54.7,1.3,7.4,2.3,1.5,0.4,not fire
24,July,2012,31,58,19,0.2,83.6,19.0,136,4.3,22.0,17.5,fire
31,June,2012,29,52,16,3.5,74.6,20.2,25.2,3.1,22.3,1.3,not fire
13,August,2012,33,70,16,3.3,69.8,7.3,80.6,0.8,12.1,6.3,not fire
8,June,2012,32,54,14,1.0,76.7,10.0,8.6,3.9,12.2,4.9,not fire
15,September,2012,28,64,16,0.6,86.8,3.5,115.6,7.9,5.2,0.3,not fire
22,July,2012,32,81,15,1.2,61.7,16.7,57.1,1.9,17.8,3.8,not fire
23,June,2012,32,35,14,1.0,91.7,23.3,100.7,8.1,32.8,12.9,not fire
27,September,2012,34,37,10,1.9,82.6,21.2,34.5,4.9,20.8,18.8,fire
9,June,2012,28,77,15,1.0,81.6,8.1,57.1,4.3,10.0,6.3,fire
5,July,2012,41,27,12,0.0,96.0,42.2,27.7,17.6,47.7,9.1,fire
8,June,2012,36,36,16,1.5,90.1,33.4,75.1,7.7,39.5,15.2,fire
26,September,2012,28,52,17,0.8,85.9,12.9,141.1,6.2,15.8,17.5,not fire
17,September,2012,34,43,16,2.8,80.7,12.7,110.9,6.3,18.3,0.5,fire
1,June,2012,26,66,12,3.4,57.8,0.9,8,2.1,1.2,0.4,not fire
13,September,2012,27,82,21,3.9,42.9,1.0,8,0.2,1.3,0.8,not fire
9,June,2012,32,67,11,2.5,70.9,6.5,8.4,1.5,6.8,15.7,not fire
29,September,2012,31,68,10,1.2,76.5,13.8,16.3,2.6,13.1,0.2,not fire
1,August,2012,30,86,17,3.5,37.6,0.9,9.1,1.2,1.3,0.1,not fire
6,September,2012,31,80,20,1.7,65.4,2.8,24.3,3.7,3.4,0,not fire
13,September,2012,28,59,10,0.2,83.1,8.5,57,6.8,11.3,5.2,fire
2,June,2012,36,52,12,1.6,84.4,14.7,127.5,4.4,16.4,1.2,not fire
2,July,2012,34,47,18,2.8,74.3,12.6,33.1,7.2,13.9,0,not fire
8,June,2012,35,43,15,1.6,89.4,8.5,8,8.0,8.3,9.9,fire
19,September,2012,35,37,16,2.1,89.3,23.1,168.2,7.6,23.2,1.3,not fire
30,August,2012,26,70,13,2.2,79.2,15.1,8.4,1.1,15.7,15.3,fire
30,July,2012,27,83,17,2.4,63.5,17.3,38.8,2.3,19.5,30,fire
18,August,2012,31,76,13,0.2,76.3,28.7,106.3,2.5,34.9,3.8,fire
20,August,2012,33,65,15,1.9,82.8,19.2,14.6 9,3.1,20.6,3.1,fire
31,August,2012,24,86,19,0.6,64.4,20.7,7.4,3.9,27.2,13.9,fire
17,June,2012,32,57,15,2.6,81.6,4.6,26.3,4.8,5.9,5.6,fire
26,September,2012,27,81,11,2.1,70.9,20.7,86.8,0.7,22.0,0.9,fire
8,June,2012,33,44,12,1.2,89.4,7.5,25.6,4.2,7.3,3.6,fire
7,August,2012,36,63,12,0.3,93.2,22.9,18.5,7.6,25.8,26.9,not fire
18,June,2012,33,65,14,0.9,93.9,26.9,32.2,10.6,28.2,14.6,fire
31,August,2012,36,48,14,1.5,88.3,42.2,76.4,7.7,44.3,3.4,fire
17,September,2012,30,80,15,1.1,70.9,4.5,45.1,1.3,4.5,1.3,fire
28,August,2012,31,76,14,0.9,81.4,38.4,210.4,5.1,40.2,6,fire
2,July,2012,36,38,14,3.2,84.5,8.9,107,5.5,10.2,1.3,not fire
